concept,context_id,period_start,period_end,instant_date,dimension_count,dimensions_json,unit,normalized_value,value_type,occurrence_count,unique_fact_ids,first_fact_number
us-gaap:FinanceLeasePrincipalPayments,i200b191ad76944bd8349bcd33dd299b0_D20210101-20211231,2021-01-01,2021-12-31,,0,[],iso4217:USD,677000000,numeric,2,2,340
us-gaap:FinanceLeasePrincipalPayments,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,2022-01-01,2022-12-31,,0,[],iso4217:USD,850000000,numeric,2,2,339
us-gaap:FiniteLivedIntangibleAssetsAccumulatedAmortization,i3f3338fa63ff4b9dbad011578a19788e_I20211231,,,2021-12-31,0,[],iso4217:USD,2691000000,numeric,2,2,944
us-gaap:FiniteLivedIntangibleAssetsAccumulatedAmortization,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,458000000,numeric,2,2,941
us-gaap:FiniteLivedIntangibleAssetsNet,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,515000000,numeric,2,2,942
us-gaap:ForeignCurrencyTransactionGainLossBeforeTax,i318d180bade84250ab5889b877c752f0_D20200101-20201231,2020-01-01,2020-12-31,,0,[],iso4217:USD,-129000000,numeric,2,2,1081
us-gaap:ForeignCurrencyTransactionGainLossBeforeTax,i200b191ad76944bd8349bcd33dd299b0_D20210101-20211231,2021-01-01,2021-12-31,,0,[],iso4217:USD,-140000000,numeric,2,2,1080
us-gaap:ForeignCurrencyTransactionGainLossBeforeTax,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,2022-01-01,2022-12-31,,0,[],iso4217:USD,-81000000,numeric,2,2,1079
us-gaap:Goodwill,i3f3338fa63ff4b9dbad011578a19788e_I20211231,,,2021-12-31,0,[],iso4217:USD,19197000000,numeric,2,2,66
us-gaap:Goodwill,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,20306000000,numeric,2,2,65
