report_date,filing_date,as_of_date,accession_number,source_file,fact_name,namespace,local_tag,context_ref,period_start,period_end,instant_date,has_dimensions,dimensions,unit_ref,unit_definition,raw_text,scale,sign,decimals,numeric_value,numeric_value_usd_billions,date_rule_passed
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:ForeignCurrencyTransactionGainLossBeforeTax,us-gaap,ForeignCurrencyTransactionGainLossBeforeTax,C_0001341439_20190601_20200531,2019-06-01,2020-05-31,,False,,U_iso4217USD,iso4217:USD,185,6,-,-6,-185000000.0,-0.185,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:GainLossOnDerivativeInstrumentsNetPretax,us-gaap,GainLossOnDerivativeInstrumentsNetPretax,C_0001341439_us-gaapIncomeStatementLocationAxis_us-gaapInterestExpenseMember_20170601_20180531,2017-06-01,2018-05-31,,True,us-gaap:IncomeStatementLocationAxis=us-gaap:InterestExpenseMember,U_iso4217USD,iso4217:USD,—,,,-6,,,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:GainLossOnDerivativeInstrumentsNetPretax,us-gaap,GainLossOnDerivativeInstrumentsNetPretax,C_0001341439_us-gaapIncomeStatementLocationAxis_us-gaapNonoperatingIncomeExpenseMember_20170601_20180531,2017-06-01,2018-05-31,,True,us-gaap:IncomeStatementLocationAxis=us-gaap:NonoperatingIncomeExpenseMember,U_iso4217USD,iso4217:USD,51,6,,-6,51000000.0,0.051,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:GainLossOnDerivativeInstrumentsNetPretax,us-gaap,GainLossOnDerivativeInstrumentsNetPretax,C_0001341439_us-gaapIncomeStatementLocationAxis_us-gaapInterestExpenseMember_20180601_20190531,2018-06-01,2019-05-31,,True,us-gaap:IncomeStatementLocationAxis=us-gaap:InterestExpenseMember,U_iso4217USD,iso4217:USD,—,,,-6,,,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:GainLossOnDerivativeInstrumentsNetPretax,us-gaap,GainLossOnDerivativeInstrumentsNetPretax,C_0001341439_us-gaapIncomeStatementLocationAxis_us-gaapNonoperatingIncomeExpenseMember_20180601_20190531,2018-06-01,2019-05-31,,True,us-gaap:IncomeStatementLocationAxis=us-gaap:NonoperatingIncomeExpenseMember,U_iso4217USD,iso4217:USD,53,6,-,-6,-53000000.0,-0.053,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:GainLossOnDerivativeInstrumentsNetPretax,us-gaap,GainLossOnDerivativeInstrumentsNetPretax,C_0001341439_us-gaapIncomeStatementLocationAxis_us-gaapInterestExpenseMember_20190601_20200531,2019-06-01,2020-05-31,,True,us-gaap:IncomeStatementLocationAxis=us-gaap:InterestExpenseMember,U_iso4217USD,iso4217:USD,—,,,-6,,,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:GainLossOnDerivativeInstrumentsNetPretax,us-gaap,GainLossOnDerivativeInstrumentsNetPretax,C_0001341439_us-gaapIncomeStatementLocationAxis_us-gaapNonoperatingIncomeExpenseMember_20190601_20200531,2019-06-01,2020-05-31,,True,us-gaap:IncomeStatementLocationAxis=us-gaap:NonoperatingIncomeExpenseMember,U_iso4217USD,iso4217:USD,25,6,-,-6,-25000000.0,-0.025,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,orcl:IncomeLossFromContinuingOperationsAfterNoncontrollingInterestBeforeIncomeTaxes,orcl,IncomeLossFromContinuingOperationsAfterNoncontrollingInterestBeforeIncomeTaxes,C_0001341439_20170601_20180531,2017-06-01,2018-05-31,,False,,U_iso4217USD,iso4217:USD,"12,424",6,,-6,12424000000.0,12.424,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,orcl:IncomeLossFromContinuingOperationsAfterNoncontrollingInterestBeforeIncomeTaxes,orcl,IncomeLossFromContinuingOperationsAfterNoncontrollingInterestBeforeIncomeTaxes,C_0001341439_20180601_20190531,2018-06-01,2019-05-31,,False,,U_iso4217USD,iso4217:USD,"12,268",6,,-6,12268000000.0,12.268,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,orcl:IncomeLossFromContinuingOperationsAfterNoncontrollingInterestBeforeIncomeTaxes,orcl,IncomeLossFromContinuingOperationsAfterNoncontrollingInterestBeforeIncomeTaxes,C_0001341439_20190601_20200531,2019-06-01,2020-05-31,,False,,U_iso4217USD,iso4217:USD,"12,063",6,,-6,12063000000.0,12.063,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,C_0001341439_20170601_20180531,2017-06-01,2018-05-31,,False,,U_iso4217USD,iso4217:USD,"3,366",6,,-6,3366000000.0,3.366,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,C_0001341439_20180601_20190531,2018-06-01,2019-05-31,,False,,U_iso4217USD,iso4217:USD,"3,774",6,,-6,3774000000.0,3.774,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,C_0001341439_20190601_20200531,2019-06-01,2020-05-31,,False,,U_iso4217USD,iso4217:USD,"3,890",6,,-6,3890000000.0,3.89,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,C_0001341439_20170601_20180531,2017-06-01,2018-05-31,,False,,U_iso4217USD,iso4217:USD,"9,058",6,,-6,9058000000.0,9.058,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,C_0001341439_20180601_20190531,2018-06-01,2019-05-31,,False,,U_iso4217USD,iso4217:USD,"8,494",6,,-6,8494000000.0,8.494,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,C_0001341439_20190601_20200531,2019-06-01,2020-05-31,,False,,U_iso4217USD,iso4217:USD,"8,173",6,,-6,8173000000.0,8.173,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,orcl:IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,orcl,IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,C_0001341439_20170601_20180531,2017-06-01,2018-05-31,,False,,U_iso4217USD,iso4217:USD,"12,424",6,,-6,12424000000.0,12.424,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,orcl:IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,orcl,IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,C_0001341439_20170601_20180531,2017-06-01,2018-05-31,,False,,U_iso4217USD,iso4217:USD,"12,424",6,,-6,12424000000.0,12.424,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,orcl:IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,orcl,IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,C_0001341439_20180601_20190531,2018-06-01,2019-05-31,,False,,U_iso4217USD,iso4217:USD,"12,268",6,,-6,12268000000.0,12.268,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,orcl:IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,orcl,IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,C_0001341439_20180601_20190531,2018-06-01,2019-05-31,,False,,U_iso4217USD,iso4217:USD,"12,268",6,,-6,12268000000.0,12.268,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,orcl:IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,orcl,IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,C_0001341439_20190601_20200531,2019-06-01,2020-05-31,,False,,U_iso4217USD,iso4217:USD,"12,063",6,,-6,12063000000.0,12.063,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,orcl:IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,orcl,IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,C_0001341439_20190601_20200531,2019-06-01,2020-05-31,,False,,U_iso4217USD,iso4217:USD,"12,063",6,,-6,12063000000.0,12.063,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:IncomeTaxExpenseBenefit,us-gaap,IncomeTaxExpenseBenefit,C_0001341439_20170601_20180531,2017-06-01,2018-05-31,,False,,U_iso4217USD,iso4217:USD,"8,837",6,,-6,8837000000.0,8.837,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:IncomeTaxExpenseBenefit,us-gaap,IncomeTaxExpenseBenefit,C_0001341439_20170601_20180531,2017-06-01,2018-05-31,,False,,U_iso4217USD,iso4217:USD,"8,837",6,,-6,8837000000.0,8.837,True
2020-05-31,2020-06-22,2021-04-01,0001564590-20-030125,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,us-gaap:IncomeTaxExpenseBenefit,us-gaap,IncomeTaxExpenseBenefit,C_0001341439_20170601_20180531,2017-06-01,2018-05-31,,False,,U_iso4217USD,iso4217:USD,"8,837",6,,-6,8837000000.0,8.837,True
